Timestamp, Internal_Temp, External_Temp, Humidity, Illuminance, CO2, Oxygen
2026-04-07 11:19:05, 23.73°C, 1.49°C, 53.12%, 576.6 W/m2, 0.09%, 6.11%
2026-04-07 11:19:10, 25.42°C, 9.52°C, 55.07%, 546.28 W/m2, 0.09%, 6.75%
2026-04-07 11:19:15, 28.49°C, 12.62°C, 54.01%, 628.4 W/m2, 0.08%, 6.79%
2026-04-07 11:19:20, 23.81°C, 4.99°C, 51.19%, 608.33 W/m2, 0.05%, 5.23%
2026-04-07 11:19:25, 22.43°C, 10.62°C, 57.64%, 544.42 W/m2, 0.04%, 6.11%
2026-04-07 11:19:30, 19.77°C, 6.5°C, 59.25%, 568.33 W/m2, 0.08%, 5.73%
2026-04-07 11:19:35, 26.29°C, 4.47°C, 57.09%, 618.69 W/m2, 0.08%, 5.03%
2026-04-07 11:19:40, 18.17°C, 0.83°C, 55.29%, 646.65 W/m2, 0.06%, 6.36%
2026-04-07 11:19:45, 22.31°C, 10.69°C, 57.14%, 564.43 W/m2, 0.06%, 6.15%
2026-04-07 11:19:50, 18.82°C, 10.24°C, 54.64%, 694.75 W/m2, 0.03%, 6.65%
2026-04-07 11:19:55, 24.75°C, 15.51°C, 55.37%, 607.69 W/m2, 0.1%, 6.87%
2026-04-07 11:20:00, 18.11°C, 19.24°C, 57.53%, 568.35 W/m2, 0.04%, 4.61%
2026-04-07 11:20:05, 29.36°C, 5.31°C, 50.53%, 611.83 W/m2, 0.07%, 6.81%
2026-04-07 11:20:10, 23.51°C, 14.0°C, 54.29%, 675.44 W/m2, 0.04%, 4.31%
2026-04-07 11:20:15, 21.5°C, 10.0°C, 51.57%, 600.02 W/m2, 0.06%, 4.27%
2026-04-07 11:20:20, 20.75°C, 3.01°C, 54.18%, 538.1 W/m2, 0.04%, 6.49%
2026-04-07 11:20:25, 18.97°C, 8.19°C, 54.13%, 616.85 W/m2, 0.09%, 6.16%
2026-04-07 11:20:30, 25.75°C, 14.52°C, 57.45%, 673.8 W/m2, 0.1%, 4.07%
2026-04-07 11:20:35, 23.83°C, 13.92°C, 52.61%, 532.51 W/m2, 0.1%, 4.35%
2026-04-07 11:20:40, 28.76°C, 0.58°C, 55.68%, 676.8 W/m2, 0.05%, 6.14%
2026-04-07 11:20:45, 21.67°C, 18.2°C, 56.53%, 595.41 W/m2, 0.09%, 6.51%
2026-04-07 11:20:50, 19.01°C, 5.75°C, 55.23%, 517.36 W/m2, 0.02%, 4.44%
2026-04-07 11:20:55, 29.61°C, 10.89°C, 51.81%, 599.39 W/m2, 0.08%, 6.27%
2026-04-07 11:21:00, 20.41°C, 13.54°C, 55.82%, 593.14 W/m2, 0.06%, 5.69%
2026-04-07 11:21:05, 24.49°C, 15.53°C, 59.84%, 595.33 W/m2, 0.03%, 5.46%
2026-04-07 11:21:10, 24.12°C, 4.11°C, 51.58%, 672.72 W/m2, 0.08%, 5.74%
2026-04-07 11:21:15, 19.11°C, 17.26°C, 52.17%, 622.76 W/m2, 0.02%, 5.25%
2026-04-07 11:21:20, 29.31°C, 1.8°C, 50.21%, 595.59 W/m2, 0.04%, 6.17%
2026-04-07 11:21:25, 26.08°C, 8.42°C, 59.83%, 552.57 W/m2, 0.04%, 5.04%
2026-04-07 11:21:30, 23.05°C, 0.35°C, 57.77%, 713.19 W/m2, 0.09%, 6.4%
2026-04-07 11:21:35, 27.76°C, 1.76°C, 51.34%, 586.03 W/m2, 0.04%, 4.49%
2026-04-07 11:21:40, 23.77°C, 0.94°C, 51.11%, 563.41 W/m2, 0.05%, 6.53%
2026-04-07 11:21:45, 19.96°C, 13.74°C, 55.85%, 583.46 W/m2, 0.1%, 4.08%
2026-04-07 11:21:50, 29.92°C, 16.75°C, 54.68%, 684.43 W/m2, 0.03%, 4.38%
2026-04-07 11:21:55, 22.25°C, 7.08°C, 58.64%, 644.49 W/m2, 0.06%, 4.39%
2026-04-07 11:22:00, 24.89°C, 0.24°C, 56.79%, 593.65 W/m2, 0.06%, 6.39%
2026-04-07 11:22:05, 18.99°C, 10.81°C, 57.86%, 693.44 W/m2, 0.03%, 6.19%
2026-04-07 11:22:10, 20.58°C, 20.73°C, 59.21%, 557.79 W/m2, 0.04%, 4.17%
2026-04-07 11:22:15, 25.23°C, 5.46°C, 56.3%, 591.36 W/m2, 0.06%, 5.65%
2026-04-07 11:22:20, 22.7°C, 4.7°C, 59.34%, 580.13 W/m2, 0.02%, 6.0%
2026-04-07 11:22:25, 23.19°C, 1.25°C, 52.15%, 661.59 W/m2, 0.06%, 6.21%
2026-04-07 11:22:30, 18.28°C, 14.47°C, 57.69%, 623.91 W/m2, 0.08%, 4.5%
2026-04-07 11:22:35, 23.37°C, 10.38°C, 51.4%, 541.6 W/m2, 0.03%, 6.88%
2026-04-07 11:22:40, 22.62°C, 5.21°C, 51.22%, 581.07 W/m2, 0.09%, 5.87%
2026-04-07 11:22:45, 26.32°C, 16.24°C, 59.89%, 701.29 W/m2, 0.08%, 5.62%
2026-04-07 11:22:50, 23.46°C, 0.91°C, 52.27%, 573.79 W/m2, 0.02%, 5.25%
2026-04-07 11:22:55, 29.74°C, 6.2°C, 52.65%, 526.44 W/m2, 0.06%, 4.82%
2026-04-07 11:23:00, 24.4°C, 13.11°C, 58.5%, 521.04 W/m2, 0.05%, 6.73%
2026-04-07 11:23:05, 18.04°C, 15.26°C, 51.95%, 505.1 W/m2, 0.09%, 6.72%
2026-04-07 11:23:10, 28.96°C, 10.79°C, 54.95%, 581.47 W/m2, 0.04%, 4.3%
2026-04-07 11:23:15, 25.14°C, 2.73°C, 55.71%, 670.95 W/m2, 0.06%, 5.3%
2026-04-07 11:23:20, 27.87°C, 2.41°C, 58.4%, 635.06 W/m2, 0.06%, 6.39%
2026-04-07 11:23:25, 29.95°C, 7.0°C, 53.24%, 628.98 W/m2, 0.02%, 4.33%
2026-04-07 11:23:30, 26.76°C, 17.11°C, 54.26%, 689.22 W/m2, 0.03%, 4.47%
2026-04-07 11:23:35, 28.09°C, 12.74°C, 50.57%, 505.95 W/m2, 0.03%, 4.22%
2026-04-07 11:23:40, 21.23°C, 20.66°C, 56.46%, 639.67 W/m2, 0.09%, 5.87%
2026-04-07 11:23:45, 24.21°C, 10.43°C, 54.34%, 688.95 W/m2, 0.03%, 5.85%
2026-04-07 11:23:50, 27.94°C, 17.54°C, 58.31%, 603.17 W/m2, 0.03%, 5.21%
2026-04-07 11:23:55, 23.56°C, 11.41°C, 58.3%, 680.56 W/m2, 0.05%, 6.89%
2026-04-07 11:24:03, 23.04°C, 19.14°C, 56.82%, 642.33 W/m2, 0.05%, 6.17%
2026-04-07 11:24:08, 27.37°C, 11.79°C, 52.52%, 651.71 W/m2, 0.02%, 4.34%
2026-04-07 11:24:13, 23.73°C, 10.42°C, 56.95%, 673.55 W/m2, 0.08%, 6.63%
2026-04-07 11:24:18, 23.21°C, 7.13°C, 57.43%, 671.07 W/m2, 0.07%, 6.01%
2026-04-07 11:24:23, 21.01°C, 13.88°C, 53.74%, 589.33 W/m2, 0.05%, 5.59%
2026-04-07 11:24:28, 24.54°C, 8.22°C, 51.57%, 518.22 W/m2, 0.06%, 5.28%
2026-04-07 11:24:33, 22.81°C, 4.95°C, 54.57%, 710.02 W/m2, 0.02%, 4.5%
2026-04-07 11:24:38, 21.35°C, 2.24°C, 51.88%, 616.44 W/m2, 0.07%, 5.13%
2026-04-07 11:24:43, 25.28°C, 19.63°C, 51.21%, 623.78 W/m2, 0.07%, 6.91%
2026-04-07 11:24:48, 28.28°C, 10.43°C, 58.61%, 541.63 W/m2, 0.09%, 5.68%
2026-04-07 11:24:53, 28.49°C, 17.96°C, 59.08%, 685.68 W/m2, 0.05%, 5.15%
